method,expected_first_moment_error,first_moment_CI_size,expected_second_moment_error,second_moment_CI_size,expected_sd_error,sd_CI_size,expected_signal_retrieval_error,signal_retrieval_CI_size,alpha,Nparts,time_step
PD_Gillespie,0.0114117159179229,0.00122740340202371,0.00787841281598072,0.000867179348960397,0.0108892666018988,0.000388754741839422,0.0469130626529959,0.004848042846642,1.1,1000,0.01
PD_integrated,0.00526419003186635,0.000530709521884076,0.00353655621312113,0.000396266169642525,0.00261802007640091,0.000118480805195055,0.0469002082004085,0.00395779063243171,1.1,1000,0.01
BD_Moran_Gillespie,0.0113681304848344,0.00120072871243032,0.00787450345812723,0.000865625174955444,0.0108573020412583,0.000410489550617665,0.0471284630335055,0.00485672371214595,1.1,1000,0.01
BD_WF_Gillespie,0.0173398001950466,0.00193046926526346,0.01213691208672,0.00145164421933976,0.0136916119440164,0.000518772061174131,0.0495295730707473,0.00573294068418098,1.1,1000,0.01
BD_WF_diffusion,0.0103198585062729,0.00100380661690873,0.00727160968796199,0.000760361934355083,0.00965485711012981,0.000389125199363133,0.0466979591791578,0.00485464098608672,1.1,1000,0.01
PF,0.0105005028790153,0.000999179859330545,0.0073145407309684,0.000706977142967051,0.00924302322383739,0.000426347967137781,0.0468214024005081,0.00468269035796135,1.1,1000,0.01
Pruning (PD),0.00521623356902713,0.000529143592115005,0.00355553763743534,0.000381080367107778,0.00216641841607393,0.000297065784548364,0.0474903899030019,0.00396052099670044,1.1,1000,0.01
Exact,0,0,0,0,0,0,0.0476912751566833,0.00397358866999467,1.1,1000,0.01
PD_Gillespie,0.000444593670081212,3.89773637019119E-05,0.000327171366324991,2.93318188178246E-05,9.84610148949372E-05,7.62470503324711E-06,0.0611834840719209,0.0047621862731929,1.1,1000,0.5
PD_integrated,0.000433762770665404,4.27283093246535E-05,0.000325528664599201,3.39564862571355E-05,0.000100320389983285,6.58896841190946E-06,0.0611854602159321,0.00475269875258849,1.1,1000,0.5
BD_Moran_Gillespie,0.00299433280529989,0.000258088607584292,0.00213316407270015,0.000199987676129866,0.00154365092831182,0.000128746793941908,0.0614552519838686,0.0046847088804144,1.1,1000,0.5
BD_WF_Gillespie,0.00307918657811974,0.000240626365030921,0.00218652023810119,0.000201698148907081,0.00155949850617075,0.000135049078382746,0.0611533354153633,0.00474434275517459,1.1,1000,0.5
BD_WF_diffusion,0.00358979297802345,0.000268338191690496,0.00250116554467215,0.000224756741503977,0.00159926889501094,0.000116515382120797,0.060935382561539,0.00479035183896065,1.1,1000,0.5
PF,0.00411627998121478,0.000364726042945767,0.00298953918882796,0.000297384406942745,0.00220937572413339,0.000154212771152429,0.0610292588249961,0.0048107373120037,1.1,1000,0.5
Pruning (PD),0.000534684152958103,5.67518920773959E-05,0.000394772928665004,4.23428852509677E-05,9.22746038410435E-05,8.82067502811649E-06,0.0612393093725713,0.00475949061319724,1.1,1000,0.5
Exact,0,0,0,0,0,0,0.0611902333087422,0.004773697450351,1.1,1000,0.5
PD_Gillespie,0.0117767564917606,0.0011904200536195,0.00819335214823327,0.000862542226777746,0.0112728959714633,0.000357136943964959,0.0477933116573436,0.0047314496741884,1.1,50,0.01
PD_integrated,0.00619627609718169,0.000568243513265017,0.00418512871608767,0.000391725552407698,0.00287671075120189,0.000224479347681034,0.0470624989493686,0.00440707390736564,1.1,50,0.01
BD_Moran_Gillespie,0.0135567696725586,0.00152941705087569,0.00947644175333334,0.00105319294920994,0.0114718887452124,0.000721599055996566,0.0485714761653693,0.00467342814372647,1.1,50,0.01
BD_WF_Gillespie,0.0185114531018032,0.00192440945596109,0.0129464067987693,0.0013882224470165,0.0152340709020733,0.000643615156514168,0.0501507519891851,0.00558580565504367,1.1,50,0.01
BD_WF_diffusion,0.0126899644922521,0.00143830532301646,0.00872764919335631,0.00103402916167681,0.0103506373108141,0.000572996591164426,0.0485993620476848,0.00483068156365225,1.1,50,0.01
PF,0.0178801030773452,0.0019744393559937,0.0124038498620339,0.0015261609663985,0.0122193132974137,0.000850134162168671,0.0491115731022599,0.00482420634100229,1.1,50,0.01
Pruning (PD),0.00549532604041201,0.00069313970314472,0.00377961193891205,0.000471337925642744,0.00225110817518984,0.000294720400132161,0.0472452395822625,0.00433627058848399,1.1,50,0.01
Exact,0,0,0,0,0,0,0.0479885499758424,0.00423676633430916,1.1,50,0.01
PD_Gillespie,0.00204091572805165,0.000187018013278405,0.00149791183969057,0.000143084552839629,0.000444864899258172,3.11085268934948E-05,0.0611068790310266,0.00499840415515516,1.1,50,0.5
PD_integrated,0.00199103437058444,0.000168766255161509,0.00148583911793265,0.000144096081048371,0.000454455987655844,3.16942082568518E-05,0.0609504380940232,0.0049229077050455,1.1,50,0.5
BD_Moran_Gillespie,0.013529099812614,0.00126365104488158,0.00966333211362649,0.0010476797258034,0.00718907803825483,0.000596463696766401,0.0643195019201891,0.00481398533111699,1.1,50,0.5
BD_WF_Gillespie,0.0135418628782137,0.00112066528569014,0.00972170285195913,0.000900244484093957,0.00734961201694773,0.000623556629920806,0.0634600837722518,0.00490109937522601,1.1,50,0.5
BD_WF_diffusion,0.0139875779139775,0.00121221147103669,0.0100708485441107,0.000972055659732008,0.00729623359442605,0.000527510081604499,0.0642401206044056,0.00475640592074001,1.1,50,0.5
