method,expected_first_moment_error,first_moment_CI_size,expected_second_moment_error,second_moment_CI_size,expected_sd_error,sd_CI_size,expected_signal_retrieval_error,signal_retrieval_CI_size,delta,sigma,Nparts
PD,0.1038649253922229,0.007427520255012022,2.0690378361716144,0.25936693381585724,0.029805819179080217,0.0017001440228869645,1.374858331517628,0.0770291862916369,11,1,50
BD,0.2522927709356899,0.015232843698151786,5.0108882219664,0.5696153930239489,0.13379752484118368,0.0082178583746198,1.393828134991256,0.08829302639576532,11,1,50
PF,0.25929387637588136,0.015141000506668296,4.925640611226824,0.4873514458781485,0.1493459007491208,0.007538366933190678,1.4100896003101666,0.08719369715196348,11,1,50
Pruning (PD),0.1038649253922229,0.007427520255012022,6.87778722863186e-13,1.70619927155071e-12,1.1095568908103814e-14,1.4665965990695836e-14,1.3707585821098929,0.08158419785790817,11,1,50
PD,0.07266768662778098,0.004873540887687709,1.3823744482386386,0.16725111599594214,0.020738798594527735,0.0012524834669321219,1.3450682608652553,0.06832493703058713,11,1,100
BD,0.1773920258576805,0.01236031786928934,3.3778597661497622,0.4058859715159505,0.09281271711248287,0.006136529918987288,1.3656981257392744,0.07647289168999699,11,1,100
PF,0.1807110511651978,0.011646975439800714,3.47927578502938,0.41451671794462763,0.10443684740392169,0.006358346045667504,1.3716869812772727,0.07523776533860954,11,1,100
Pruning (PD),0.07266768662778098,0.004873540887687709,0,0,5.195843755245732e-16,5.099734808491858e-16,1.3470909257499222,0.06943362816860502,11,1,100
PD,0.03348510495947953,0.002845801501192766,0.6547389004386166,0.09639584039471379,0.009416704421872781,6.939027186327326e-4,1.388000672137424,0.08262636456780108,11,1,500
BD,0.07841312168521052,0.005837737262894385,1.5440037261444564,0.20755849861481596,0.042087925673178414,0.0026112890928509467,1.3908537105632304,0.08555697201973161,11,1,500
PF,0.08010447802551766,0.005992789036408194,1.534745312478269,0.19323897891743083,0.04652604054512662,0.003057490904121545,1.3846266623465981,0.08017895227475047,11,1,500
Pruning (PD),0.03348510495947953,0.002845801501192766,0,0,5.950795411990839e-16,5.811390736877174e-16,1.3916567303606842,0.07922898945735904,11,1,500
PD,0.02323807954512314,0.0017293555529223558,0.4431975053277928,0.05846487497455276,0.006609014154828448,5.005299620964484e-4,1.3497149296490483,0.08572418691821845,11,1,1000
BD,0.05543992670456184,0.0031849289906142873,1.0730331674223574,0.11902446040968506,0.02946779065170013,0.0022327615970429353,1.3594277824253067,0.08519368090851706,11,1,1000
PF,0.05697495889044681,0.0037725066927755614,1.0882853219157156,0.1425454768220833,0.03206115215284342,0.0018513319280322558,1.3482362025440193,0.08627174635395479,11,1,1000
Pruning (PD),0.02323807954512314,0.0017293555529223558,0,0,5.484501741648274e-16,5.510870704599744e-16,1.3485774913276811,0.0868926912441245,11,1,1000
